0 -0.00238785 0.0010108 0.234144 -0.287528 200  -0.4411454101192262555742      200 
1 -0.00339 0.00525 0.40042 -0.41315 200   0.5587089279809939190713      200 
2 -0.49625 0.01311 0.65609 -0.51935 200  -40.8389807859562310454749      200 
3 -0.32977 0.96447 2.33135 -2.97453 200  -15.1559026453756509056348      200 
4 -13.36924 13335.36683 2.09884 -1000.00000 73  -474.2323914799648036932922       73 
5 -0.23134 0.01212 0.54591 -0.60768 200  -18.3362527306652935976672      200 
6 -0.56150 0.02700 0.60013 -0.73888 200  -45.2223558609582809708627      200 
7 -0.08657 0.03847 1.00478 -0.40041 200  -2.4081220015035316173169      200 
8 -14.78887 14274.25861 0.65908 -1000.00000 68  -518.8939007500290472307825       68 
9 -29.25068 28556.52275 1.23566 -1000.00000 33  -713.6630430463860648160335       33 
10 -5.43812 5465.28512 1.62761 -1000.00000 181  -154.5994697404819646635588      181 
